Time,Amount
110.0,110.4
110.0,13.95
111.0,9.99
112.0,937.69
112.0,54.99
113.0,31.17
114.0,23.88
114.0,4.49
115.0,137.0
117.0,37.89
117.0,82.29
118.0,2.69
118.0,20.0
121.0,29.99
123.0,40.0
123.0,160.86
124.0,8.93
124.0,6.24
124.0,230.0
125.0,43.71
125.0,165.55
125.0,113.0
127.0,1.54
128.0,10.0
128.0,8.8
130.0,5.97
130.0,15.93
131.0,10.0
132.0,3.87
132.0,10.0
133.0,35.97
135.0,22.37
135.0,4.57
135.0,23.57
136.0,13.99
137.0,226.07
138.0,148.81
139.0,58.0
140.0,1.29
140.0,65.0
140.0,11.0
140.0,257.3
140.0,169.0
141.0,9.9
142.0,9.99
142.0,4.9
143.0,39.95
144.0,15.36
145.0,9.9
145.0,6.0
145.0,6.0
145.0,6.74
145.0,6.74
147.0,170.43
147.0,0.89
150.0,0.89
152.0,614.87
153.0,22.99
153.0,71.26
154.0,127.69
154.0,1.98
155.0,6.45
155.0,1.29
156.0,184.31
156.0,500.0
156.0,10.0
158.0,1.79
158.0,10.0
160.0,20.0
160.0,700.0
162.0,22.0
164.0,2.28
164.0,65.26
164.0,0.99
167.0,1.0
167.0,44.2
167.0,5.42
168.0,42.9
169.0,355.51
171.0,0.89
171.0,71.69
172.0,2.29
172.0,1.29
179.0,27.99
180.0,23.63
180.0,48.0
181.0,318.5
181.0,6.47
183.0,224.97
183.0,75.83
184.0,1.98
184.0,1.98
185.0,4.65
187.0,23.32
188.0,8.09
190.0,82.29
190.0,99.95
190.0,20.0
190.0,127.75
190.0,20.7
192.0,1.79
193.0,37.2
194.0,1.0
194.0,32.77
194.0,5.99
196.0,0.89
196.0,63.9
199.0,6.45
199.0,61.18
199.0,9.99
200.0,196.7
200.0,79.0
204.0,137.3
204.0,39.94
204.0,1.98
205.0,12.99
206.0,153.91
206.0,101.0
206.0,10.27
209.0,8.97
209.0,1.19
209.0,45.0
209.0,95.56
209.0,13.99
210.0,12.99
211.0,526.96
211.0,70.0
213.0,4.38
215.0,12.99
217.0,24.0
218.0,1.0
218.0,17.56
218.0,12.99
220.0,18.96
220.0,22.58
221.0,99.82
221.0,25.36
222.0,7.81
222.0,18.61
222.0,49.99
222.0,17.24
225.0,34.0
225.0,35.11
227.0,1.0
227.0,29.95
228.0,45.3
230.0,79.18
231.0,26.98
231.0,1.98
234.0,42.81
235.0,25.0
236.0,0.99
236.0,7.14
237.0,9.99
237.0,32.51
238.0,8.99
239.0,10.0
241.0,10.62
241.0,4.81
241.0,12.2
241.0,12.31
242.0,2.69
244.0,100.37
246.0,1.5
246.0,1.98
246.0,2.98
247.0,18.94
248.0,10.0
249.0,13.28
250.0,5.96
251.0,31.8
251.0,120.0
251.0,24.0
252.0,231.71
256.0,13.53
256.0,18.45
257.0,1.98
258.0,13.79
259.0,20.17
259.0,9.99
259.0,55.45
259.0,0.99
260.0,26.5
260.0,99.0
260.0,5.46
261.0,1.98
263.0,49.99
265.0,24.84
265.0,13.08
265.0,9.03
265.0,1.0
266.0,10.35
266.0,14.9
266.0,154.4
267.0,122.36
267.0,2.28
268.0,6.54
269.0,2.6
269.0,6.47
270.0,52.95
271.0,0.89
271.0,5.99
272.0,208.38
273.0,32.51
273.0,6.51
273.0,18.0
274.0,1.98
275.0,70.33
278.0,2.69
279.0,19.29
279.0,8.99
280.0,109.15
282.0,0.0
282.0,27.0
282.0,2.0
282.0,11.64
283.0,94.5
283.0,2.31
284.0,7.89
284.0,1.0
284.0,11.99
284.0,302.1
284.0,30.3
285.0,8.99
287.0,160.0
288.0,380.95
288.0,156.98
288.0,6.54
289.0,74.47
290.0,30.5
290.0,85.0
290.0,67.36
290.0,101.0
292.0,4.45
292.0,23.88
293.0,5.0
294.0,73.0
294.0,33.33
297.0,6.86
297.0,54.75
297.0,6.2
297.0,12.31
298.0,13.99
298.0,36.0
300.0,1.91
302.0,90.0
302.0,9.99
303.0,2.95
303.0,90.0
304.0,1.98
305.0,379.63
307.0,52.9
307.0,9.97
308.0,60.0
309.0,1.0
309.0,14.6
310.0,7.8
310.0,22.09
310.0,222.5
311.0,11.5
311.0,8.58
312.0,140.6
312.0,493.44
312.0,33.26
313.0,15.08
313.0,68.0
315.0,11.46
315.0,69.99
317.0,19.99
317.0,7.69
318.0,10.0
322.0,1.79
322.0,9.99
322.0,29.56
323.0,0.77
323.0,52.0
324.0,0.89
325.0,17.24
327.0,36.71
328.0,2.5
330.0,55.76
330.0,32.38
331.0,0.89
332.0,11.34
333.0,75.0
333.0,216.0
335.0,1.03
335.0,4.8
336.0,7.72
339.0,2.0
339.0,98.0
340.0,47.0
340.0,0.99
341.0,22.0
341.0,62.63
342.0,197.63
343.0,75.83
344.0,456.71
346.0,6.0
346.0,5.0
346.0,10.99
347.0,204.03
348.0,3.99
351.0,12.99
352.0,13.99
352.0,2.67
353.0,12.87
353.0,611.76
354.0,2.31
354.0,11.38
354.0,23.88
355.0,2.61
355.0,19.64
356.0,20.48
356.0,105.87
356.0,15.0
357.0,0.75
358.0,17.43
358.0,41.64
359.0,1.29
360.0,0.89
362.0,79.0
363.0,37.92
365.0,74.22
365.0,0.68
366.0,9.99
366.0,97.47
367.0,1.29
368.0,1.98
368.0,1.98
369.0,1.0
369.0,32.63
369.0,1.98
370.0,4.79
373.0,10.29
373.0,1.79
375.0,29.18
376.0,12.89
376.0,4.45
376.0,11.39
377.0,40.83
378.0,85.25
379.0,881.13
380.0,0.0
380.0,9.99
382.0,45.38
383.0,17.99
383.0,16.0
384.0,510.22
386.0,1.0
386.0,575.33
387.0,10.0
388.0,12.99
388.0,9.99
389.0,8.93
389.0,29.95
391.0,27.7
392.0,82.29
393.0,64.04
394.0,1.0
394.0,1.55
399.0,15.19
402.0,0.01
403.0,0.0
403.0,411.88
403.0,52.4
403.0,15.0
404.0,0.99
405.0,27.13
406.0,1.98
406.0,0.0
406.0,46.68
407.0,146.25
408.0,7.3
409.0,0.77
409.0,72.0
410.0,56.09
410.0,39.77
410.0,0.89
411.0,235.7
411.0,10.0
413.0,40.0
413.0,57.5
413.0,30.0
414.0,29.99
414.0,1.0
415.0,24.02
417.0,8.61
417.0,29.99
417.0,0.89
421.0,10.69
421.0,12.41
421.0,1.0
422.0,60.92
423.0,43.34
423.0,3.75
425.0,3.59
426.0,16.19
426.0,4.95
427.0,11.36
427.0,12.98
427.0,539.17
427.0,246.96
427.0,10.0
430.0,0.0
430.0,2.31
430.0,30.0
432.0,102.13
432.0,22.03
433.0,34.27
433.0,5.31
434.0,25.03
436.0,15.8
438.0,2.0
438.0,8.49
439.0,3.67
439.0,0.77
441.0,9.27
441.0,50.0
442.0,2.23
442.0,77.98
443.0,46.77
444.0,399.07
446.0,17.99
446.0,64.0
448.0,11.99
449.0,10.2
450.0,75.65
452.0,49.98
453.0,92.91
454.0,9.65
455.0,1.98
457.0,121.48
457.0,2.72
458.0,13.0
459.0,2.99
459.0,6.99
460.0,50.78
460.0,13.49
460.0,79.0
460.0,2.85
462.0,13.99
463.0,55.0
463.0,37.57
463.0,1.0
464.0,11.99
464.0,1.48
465.0,7.69
466.0,20.0
471.0,48.0
472.0,0.92
472.0,17.57
472.0,529.0
472.0,59.88
476.0,1.0
477.0,9.51
478.0,1.79
478.0,10.0
478.0,79.0
479.0,1.0
480.0,0.75
480.0,732.0
481.0,1015.61
481.0,11.5
483.0,20.74
483.0,4.42
484.0,158.0
484.0,49.9
484.0,1.0
484.0,99.9
487.0,7.48
487.0,91.76
487.0,8.99
488.0,64.99
489.0,139.75
490.0,3.44
490.0,254.41
491.0,18.45
491.0,9.99
491.0,10.0
492.0,632.4
493.0,67.94
494.0,54.99
495.0,834.84
496.0,29.0
496.0,16.5
496.0,50.99
497.0,8.83
498.0,5.0
499.0,1.98
499.0,22.83
499.0,92.82
501.0,3.0
502.0,45.56
503.0,268.93
503.0,712.82
504.0,24.9
508.0,2.27
509.0,22.77
509.0,114.0
509.0,6.99
509.0,8.28
510.0,1.99
510.0,35.93
511.0,8.93
511.0,37.96
512.0,80.0
513.0,4.69
513.0,7.0
513.0,1.0
513.0,64.0
514.0,36.61
514.0,30.49
517.0,10.0
517.0,59.9
518.0,4.45
518.0,9.99
519.0,0.89
521.0,69.99
522.0,39.05
523.0,15.19
523.0,42.64
524.0,37.89
524.0,52.05
525.0,59.9
525.0,79.54
528.0,3.71
528.0,25.41
529.0,1.5
530.0,1.98
530.0,9.72
530.0,1.0
530.0,12.0
532.0,75.17
532.0,17.99
533.0,291.36
534.0,25.0
535.0,8.5
535.0,30.41
536.0,15.0
536.0,0.89
536.0,102.0
537.0,27.34
538.0,158.0
539.0,35.64
539.0,1.29
539.0,1.0
541.0,67.1
543.0,2.98
544.0,11.46
545.0,3.98
547.0,6.85
547.0,1.48
548.0,24.99
548.0,41.96
549.0,30.0
549.0,530.85
550.0,74.22
550.0,16.83
550.0,2.99
550.0,2.67
550.0,317.25
551.0,23.97
551.0,8.84
552.0,5.95
553.0,986.31
553.0,10.08
554.0,35.95
555.0,11.22
556.0,206.77
557.0,1.0
557.0,11.45
557.0,3.95
558.0,17.68
559.0,22.24
559.0,9.23
559.0,242.15
559.0,50.2
559.0,8.99
560.0,9.99
561.0,149.9
561.0,0.89
562.0,10.99
564.0,48.0
564.0,9.99
564.0,12.9
566.0,18.56
569.0,15.25
571.0,9.99
571.0,2.89
572.0,8.98
572.0,158.0
574.0,12.0
574.0,131.37
574.0,0.76
574.0,1.29
575.0,26.72
579.0,80.0
579.0,5.98
580.0,12.36
581.0,13.79
581.0,145.56
582.0,18.0
583.0,10.77
586.0,4.49
586.0,29.56
588.0,0.01
588.0,275.89
589.0,1.0
589.0,15.0
590.0,50.0
592.0,470.88
593.0,2.69
597.0,11.46
598.0,605.5
599.0,0.99
599.0,55.61
600.0,0.89
600.0,11.98
600.0,2.72
602.0,120.02
604.0,10.8
604.0,79.95
604.0,1.79
604.0,26.57
605.0,10.0
605.0,134.7
605.0,17.5
607.0,69.99
608.0,15.0
608.0,11.97
609.0,69.99
610.0,47.85
610.0,59.9
610.0,174.88
611.0,19.98
611.0,99.0
611.0,8.38
614.0,2.68
614.0,21.5
617.0,12.99
619.0,24.9
619.0,25.99
623.0,105.16
623.0,1.98
623.0,1.0
624.0,1.78
624.0,9.99
626.0,10.99
626.0,30.5
628.0,56.0
629.0,4.0
630.0,223.25
630.0,1.98
630.0,79.0
631.0,57.64
631.0,16.98
631.0,1.0
633.0,24.99
633.0,29.35
634.0,68.7
634.0,29.9
636.0,32.51
636.0,29.48
636.0,2.5
636.0,37.99
637.0,4.88
638.0,5.26
638.0,25.98
639.0,54.8
640.0,125.86
642.0,75.93
643.0,589.21
643.0,13.99
646.0,1.79
646.0,114.34
646.0,204.0
646.0,1.18
647.0,23.43
647.0,8.99
647.0,18.56
648.0,28.14
648.0,0.77
649.0,4.52
649.0,12.0
650.0,4.95
651.0,1.0
651.0,4.2
651.0,4.99
654.0,9.9
654.0,0.05
654.0,15.79
654.0,1.0
655.0,24.9
656.0,1602.99
656.0,8.99
656.0,7.04
656.0,158.0
657.0,1.0
658.0,1.78
659.0,8.9
659.0,117.28
660.0,15.0
661.0,99.0
663.0,19.54
664.0,60.0
665.0,73.0
666.0,0.05
666.0,13.99
666.0,64.63
666.0,47.76
666.0,3.58
667.0,24.9
668.0,3.1
668.0,1.98
670.0,57.7
670.0,17.68
671.0,42.56
672.0,7.95
672.0,0.89
672.0,94.86
672.0,0.05
674.0,22.0
674.0,0.92
674.0,24.9
676.0,39.05
677.0,32.14
677.0,16.31
677.0,0.89
678.0,15.8
679.0,0.05
679.0,25.39
680.0,24.9
680.0,89.95
681.0,9.99
683.0,287.57
684.0,9.99
685.0,1.0
685.0,217.0
685.0,8.91
687.0,53.54
688.0,64.99
691.0,0.05
692.0,60.0
692.0,10.99
692.0,1.98
693.0,24.9
693.0,0.85
694.0,64.0
694.0,18.0
694.0,17.24
696.0,22.61
696.0,18.56
699.0,23.43
699.0,15.38
701.0,171.32
702.0,143.9
704.0,24.38
704.0,1.29
705.0,4.99
705.0,6.55
705.0,1.0
707.0,25.0
708.0,9.87
710.0,25.0
711.0,0.0
711.0,12.15
711.0,0.77
713.0,13.98
713.0,33.99
714.0,24.95
714.0,0.89
715.0,69.97
716.0,8.99
717.0,5.0
718.0,9.99
718.0,9.48
718.0,467.74
719.0,8.96
719.0,51.45
720.0,5.0
721.0,1.46
721.0,5.0
722.0,767.7
722.0,87.47
723.0,131.95
723.0,179.84
725.0,0.76
726.0,9.44
726.0,8.99
728.0,4.49
729.0,13.94
729.0,1.98
730.0,500.0
730.0,5.45
731.0,9.95
734.0,0.89
734.0,0.89
734.0,94.65
735.0,10.38
735.0,15.15
736.0,25.3
737.0,1.98
737.0,25.85
738.0,220.28
739.0,9.99
741.0,294.95
741.0,29.99
741.0,8.12
742.0,25.95
742.0,11.98
742.0,16.5
742.0,11.5
743.0,153.0
744.0,138.0
744.0,0.1
745.0,1.29
746.0,47.9
747.0,16.18
748.0,82.39
749.0,354.85
750.0,15.37
750.0,5.91
751.0,14.05
751.0,3.9
752.0,1.78
753.0,30.0
755.0,82.37
755.0,8.0
756.0,2.69
756.0,2.5
756.0,7.28
758.0,0.99
758.0,2.49
758.0,1.0
758.0,291.38
759.0,15.0
760.0,82.39
761.0,792.2
762.0,29.99
763.0,15.0
763.0,29.95
764.0,1.98
765.0,16.45
766.0,9.99
766.0,62.85
769.0,1.0
769.0,0.89
769.0,0.76
770.0,39.09
770.0,112.38
770.0,1.98
772.0,1.78
773.0,41.4
774.0,8.94
774.0,78.44
775.0,1528.9
776.0,17.87
776.0,88.88
776.0,29.0
777.0,237.98
778.0,9.73
780.0,8.0
783.0,1.0
784.0,14.2
784.0,5.07
784.0,37.5
784.0,203.83
788.0,5.42
788.0,9.95
789.0,7.69
789.0,11.38
790.0,1.29
790.0,197.16
791.0,52.93
791.0,44.91
792.0,3.37
792.0,25.54
793.0,7.82
793.0,9.31
795.0,0.89
798.0,34.6
798.0,7.99
800.0,1.98
802.0,11.99
803.0,34.9
804.0,34.95
804.0,1.0
804.0,0.0
805.0,13.0
805.0,8.9
805.0,1.0
807.0,74.64
808.0,352.89
809.0,45.9
810.0,6.0
811.0,5.35
813.0,9.99
815.0,74.22
816.0,5.8
817.0,8.04
820.0,0.0
821.0,309.0
821.0,82.5
822.0,156.04
823.0,128.68
823.0,17.5
823.0,9.0
824.0,144.0
828.0,11.5
830.0,186.14
832.0,11.45
833.0,8.0
833.0,55.0
834.0,59.0
835.0,0.89
836.0,56.86
836.0,10.0
839.0,293.34
840.0,8.99
841.0,6.1
841.0,6.99
843.0,14.99
843.0,0.46
844.0,1.0
845.0,201.1
846.0,1.49
850.0,8.97
852.0,1.0
854.0,2.34
854.0,21.03
855.0,196.46
856.0,23.9
857.0,2.49
858.0,1.79
860.0,13.27
861.0,10.0
861.0,418.48
861.0,15.0
862.0,1.0
862.0,1.98
863.0,148.59
863.0,128.0
864.0,188.0
866.0,102.9
868.0,17.28
868.0,7.8
869.0,1.0
871.0,28.9
871.0,15.3
871.0,8.99
871.0,15.17
871.0,6.56
872.0,158.0
873.0,7.19
873.0,1.0
874.0,7.69
875.0,13.31
875.0,20.53
875.0,8.9
878.0,18.8
878.0,69.7
879.0,19.51
881.0,93.82
881.0,107.9
881.0,7.65
881.0,139.95
884.0,1.29
887.0,158.0
890.0,21.98
890.0,6.95
890.0,135.98
891.0,4.04
892.0,13.27
892.0,14.81
893.0,158.0
894.0,1.0
896.0,38.0
896.0,2.72
897.0,158.0
897.0,42.35
898.0,1.0
899.0,57.0
899.0,268.13
900.0,89.9
900.0,1.0
904.0,75.13
905.0,0.89
907.0,22.79
907.0,2.69
908.0,136.3
908.0,16.99
908.0,6.74
909.0,89.46
909.0,51.67
909.0,5.47
911.0,0.77
911.0,2.0
912.0,24.08
912.0,0.0
912.0,2.28
914.0,11.03
915.0,8.99
916.0,4.97
917.0,104.0
917.0,158.0
919.0,158.0
919.0,158.0
919.0,1.0
919.0,1.0
919.0,4.91
921.0,158.0
921.0,44.99
922.0,474.59
922.0,1.0
923.0,0.77
923.0,69.81
924.0,63.7
924.0,158.0
924.0,7.74
925.0,158.0
925.0,8.99
926.0,64.99
926.0,1.0
927.0,150.0
928.0,158.0
929.0,53.75
929.0,1.0
929.0,6.99
930.0,22.17
931.0,29.9
932.0,50.0
933.0,2.27
933.0,500.0
935.0,4.77
936.0,158.0
936.0,5.99
936.0,189.0
937.0,158.0
938.0,13.99
938.0,1.0
938.0,19.99
939.0,0.89
939.0,64.5
939.0,7.81
940.0,7.59
940.0,1.98
940.0,135.0
942.0,3.16
942.0,32.52
943.0,213.1
943.0,10.59
943.0,48.94
945.0,101.26
945.0,158.0
946.0,192.17
946.0,1.0
947.0,28.9
947.0,86.97
947.0,0.89
949.0,82.62
950.0,0.79
951.0,5.0
952.0,21.66
952.0,113.59
954.0,0.99
955.0,90.5
955.0,17.92
956.0,136.3
956.0,343.0
957.0,84.95
957.0,19.72
957.0,0.95
958.0,25.28
961.0,281.42
963.0,4.49
963.0,5.99
963.0,240.9
965.0,7.62
966.0,0.99
966.0,1.98
966.0,158.0
967.0,7.65
971.0,12.14
971.0,9.48
972.0,158.0
972.0,10.86
973.0,31.0
973.0,46.39
973.0,1.0
973.0,64.93
973.0,12.99
974.0,10.62
974.0,8.49
974.0,40.2
977.0,99.99
977.0,55.97
978.0,226.53
978.0,0.77
978.0,14.0
978.0,1.78
979.0,15.13
980.0,3.56
982.0,38.44
983.0,49.0
984.0,1.68
986.0,1.94
986.0,14.99
986.0,2.78
989.0,17.49
990.0,1736.0
990.0,11.84
991.0,53.39
993.0,1.98
994.0,11.43
994.0,12.86
997.0,10.81
999.0,1.0
999.0,1.79
1000.0,20.43
1000.0,26.0
1001.0,4.95
1001.0,12.94
1004.0,10.0
1005.0,11.0
1009.0,9.99
1015.0,1.45
1016.0,306.95
1018.0,32.97
1020.0,431.0
1021.0,195.0
1022.0,84.4
1022.0,158.0
1022.0,9.51
1023.0,1.98
1025.0,8.0
1026.0,10.82
1026.0,158.0
1027.0,1.0
1028.0,1.0
1029.0,49.5
1029.0,2.58
1029.0,0.92
1030.0,17.49
1030.0,1.78
1030.0,42.99
1034.0,2.58
1034.0,19.99
1034.0,233.15
1035.0,155.75
1036.0,76.13
1036.0,5.0
1036.0,9.95
1038.0,158.0
1038.0,158.0
1039.0,1.0
1040.0,149.98
1040.0,160.0
1040.0,25.0
1041.0,173.0
1041.0,0.76
1041.0,5.28
1041.0,274.72
1042.0,1.0
1043.0,158.0
1045.0,158.0
1045.0,158.0
1045.0,4.68
1046.0,1.0
1046.0,91.18
1046.0,2.69
1046.0,4.49
1047.0,4.99
1048.0,9.5
1049.0,5.47
1050.0,198.83
1051.0,0.12
1051.0,44.48
1051.0,36.26
1051.0,41.89
1052.0,8.99
1052.0,0.9
1053.0,21.48
1053.0,2.33
1054.0,1.0
1054.0,30.33
1055.0,10.62
1055.0,9.12
1055.0,196.33
1056.0,2.28
1057.0,32.14
1057.0,12.99
1058.0,6.25
1059.0,68.0
1059.0,48.43
1060.0,158.0
1061.0,21.87
1062.0,8.99
1064.0,16.9
1065.0,0.99
1065.0,500.0
1066.0,3.5
1066.0,20.0
1069.0,224.99
1069.0,50.0
1071.0,0.89
1072.0,12.48
1072.0,158.0
1072.0,10.95
1073.0,202.37
1074.0,158.0
1074.0,158.0
1074.0,1.0
1074.0,1.0
1074.0,8.97
1075.0,384.11
1077.0,158.0
1077.0,2452.03
1077.0,160.0
1078.0,4.86
1078.0,35.79
1079.0,0.77
1079.0,147.2
1079.0,0.76
1080.0,1.0
1081.0,71.73
1082.0,20.07
1082.0,59.9
1082.0,2.69
1083.0,160.0
1083.0,158.0
1083.0,7.49
1084.0,75.08
1084.0,229.9
1085.0,99.0
1089.0,23.97
1090.0,78.03
1091.0,158.0
1092.0,1.0
1093.0,158.0
1093.0,160.0
1094.0,21.29
1094.0,9.57
1095.0,37.85
1095.0,64.94
1095.0,0.99
1096.0,30.33
1096.0,1.0
1097.0,224.0
1097.0,55.94
1097.0,367.2
1098.0,1.29
1099.0,160.0
1102.0,1.0
1103.0,1376.13
1103.0,213.87
1104.0,106.77
1105.0,51.5
1105.0,36.29
1106.0,160.0
1108.0,160.0
1109.0,1.0
1111.0,1.0
1111.0,29.54
1112.0,50.0
1113.0,6.36
1114.0,53.02
1114.0,160.0
1114.0,135.19
1117.0,158.0
1117.0,0.99
1117.0,1.0
1120.0,44.0
1121.0,26.0
1121.0,2.28
1121.0,318.0
1122.0,3.32
1124.0,160.0
1124.0,167.09
1124.0,10.46
1125.0,19.49
1127.0,1.0
1128.0,198.0
1128.0,87.75
1129.0,24.0
1129.0,71.17
1131.0,160.0
1131.0,7.15
1132.0,0.38
1133.0,1.0
1135.0,144.14
1136.0,6.23
1138.0,10.99
1138.0,3.75
1139.0,66.6
1140.0,27.99
1140.0,13.99
1144.0,9.99
1146.0,50.0
1148.0,158.0
1150.0,82.25
1151.0,38.0
1152.0,8.99
1152.0,64.2
1153.0,90.0
1153.0,158.0
1153.0,4.73
1154.0,1.0
1155.0,0.85
1156.0,148.49
1158.0,113.02
1158.0,17.79
1158.0,32.5
1158.0,75.46
1159.0,239.02
1159.0,23.74
1161.0,60.0
1161.0,410.49
1161.0,49.99
1161.0,76.48
1161.0,13.99
1162.0,7.81
1162.0,9.75
1163.0,24.0
1164.0,1.98
1164.0,158.0
1165.0,1.53
1165.0,45.42
1166.0,19.22
1166.0,60.0
1167.0,158.0
1169.0,10.91
1170.0,65.0
1171.0,9.99
1171.0,189.25
1173.0,80.65
1173.0,23.92
1174.0,1.98
1175.0,142.42
1176.0,62.57
1177.0,60.2
1177.0,11.5
1178.0,158.0
1179.0,251.35
1180.0,22.71
1186.0,449.0
1187.0,10.97
1188.0,30.3
1188.0,100.0
1189.0,4.0
1190.0,4.0
1190.0,8.99
1191.0,67.23
1191.0,0.89
1191.0,1.0
1193.0,0.0
1194.0,44.22
1196.0,20.17
1200.0,6.77
1200.0,118.98
1201.0,4.99
1201.0,9.99
1201.0,37.98
1204.0,84.68
1204.0,65.3
1205.0,7.42
1206.0,12.0
1207.0,0.99
1208.0,160.0
1210.0,3.77
1211.0,160.0
1211.0,9.99
1212.0,68.02
1213.0,8.65
1213.0,36.03
1214.0,0.89
1215.0,10.0
1216.0,13.99
1216.0,9.99
1217.0,75.84
1217.0,154.99
1218.0,316.0
1218.0,160.0
1220.0,3.59
1220.0,158.0
1221.0,79.0
1221.0,1.0
1221.0,1.0
1223.0,47.31
1223.0,4.0
1223.0,4.49
1224.0,160.0
1225.0,1.0
1225.0,30.38
1227.0,23.88
1227.0,276.93
1227.0,1.0
1227.0,11.89
1228.0,279.93
1228.0,15.09
1229.0,3.19
1229.0,160.0
1230.0,1.99
1230.0,5.55
1231.0,0.78
1231.0,0.75
1231.0,79.9
1232.0,1.0
1232.0,221.79
1233.0,13.99
1233.0,2.69
1233.0,1.49
1234.0,26.21
1235.0,115.0
1236.0,186.96
1236.0,160.0
1237.0,93.0
1238.0,66.21
1238.0,35.69
1238.0,160.0
1239.0,1.0
1240.0,174.5
1240.0,1.0
1241.0,15.0
1242.0,160.0
1244.0,160.0
1245.0,1.0
1246.0,17.77
1246.0,6.54
1247.0,1.0
1247.0,15.13
1247.0,21.66
1248.0,34.13
1248.0,9.99
1249.0,20.0
1250.0,71.87
1251.0,39.8
1251.0,500.0
1252.0,160.0
1252.0,1.0
1252.0,43.54
1252.0,1.29
1252.0,1.79
1253.0,160.0
1253.0,6.28
1254.0,1.0
1256.0,1.0
1256.0,5.49
1256.0,49.9
1257.0,4.29
1257.0,2.28
1259.0,0.89
1259.0,9.0
1260.0,17.74
1260.0,1.0
1260.0,1.98
1261.0,34.15
1261.0,160.0
1261.0,102.0
1262.0,17.99
1263.0,0.99
1264.0,7712.43
1264.0,85.79
1265.0,21.52
1265.0,160.0
1266.0,73.66
1266.0,2.0
1266.0,160.0
1266.0,14.93
1266.0,158.0
1267.0,1127.78
1268.0,1.0
1268.0,1.0
1269.0,149.79
1271.0,142.13
1271.0,33.62
1271.0,11.95
1271.0,1.98
1272.0,1.46
1274.0,30.89
1280.0,38.99
1280.0,0.99
1280.0,8.91
1280.0,17.99
1282.0,474.0
1283.0,1.98
1283.0,9.99
1285.0,14.5
1286.0,17.99
1287.0,128.0
1287.0,5.0
1288.0,64.99
1290.0,5.0
1291.0,64.69
1292.0,132.0
1293.0,8.0
1294.0,5.0
1295.0,30.0
1295.0,15.98
1296.0,41.36
1297.0,49.57
1297.0,17.99
1297.0,838.2
1298.0,52.52
1298.0,5.0
1300.0,1.29
1301.0,5.0
1302.0,118.0
1302.0,58.9
1303.0,0.89
1303.0,11.03
1307.0,24.56
1308.0,25.3
1308.0,25.3
1308.0,43.8
1308.0,43.8
1309.0,3.99
1309.0,11.76
1309.0,5.0
1309.0,68.5
1310.0,17.99
1310.0,80.51
1310.0,20.0
1312.0,123.02
1313.0,11.37
